,date,name,type,distance_meters,moving_time_seconds,elapsed_time seconds,total_elevation_gain,average_speed_metres_per_second,max_speed_metres_per_second,average_cadence,average_watts,average_heartrate,max_heartrate,elev_high_meters,elev_low_meters,suffer_score
0,2023-08-24T14:26:45Z,Afternoon Weight Training,WeightTraining,0.0,3851,3851,0.0,0.0,0.0,,,90.0,128.0,0.0,0.0,7.0
1,2023-08-23T18:50:46Z,Wednesday Evening Run,Run,5121.3,1666,1669,50.9,3.074,5.948,75.0,257.2,148.1,168.0,192.1,165.3,35.0
2,2023-08-22T18:10:28Z,Tuesday Evening Run,Run,4628.2,2105,2145,62.7,2.199,4.172,73.2,192.8,127.4,149.0,230.6,173.2,8.0
3,2023-08-21T19:06:34Z,Monday Evening Run,Run,10628.4,4015,4019,143.0,2.647,5.338,73.9,220.9,140.5,154.0,240.3,165.3,45.0
4,2023-08-20T14:00:11Z,Afternoon Weight Training,WeightTraining,0.0,3606,3606,0.0,0.0,0.0,,,85.6,127.0,0.0,0.0,6.0
5,2023-08-19T17:56:32Z,Saturday Evening Run,Run,11228.9,4233,4363,147.9,2.653,5.772,73.4,219.5,139.8,154.0,240.3,165.3,44.0
6,2023-08-18T12:28:00Z,Spaziergang am Mittag,Walk,6000.0,3600,3600,0.0,1.667,0.0,,,,,,,
7,2023-08-17T17:35:40Z,Thursday Evening Run,Run,4098.2,2018,2067,52.5,2.031,3.582,70.2,175.3,118.0,135.0,215.7,173.2,7.0
8,2023-08-16T15:32:43Z,Wednesday Afternoon Run,Run,11312.2,4345,4571,147.4,2.603,5.22,73.8,221.8,143.6,165.0,240.3,165.3,64.0
9,2023-08-15T17:11:49Z,Afternoon Weight Training,WeightTraining,0.0,2570,2570,0.0,0.0,0.0,,,94.5,135.0,0.0,0.0,5.0
10,2023-08-14T19:09:14Z,Monday Evening Run,Run,5534.3,1964,1974,38.6,2.818,4.728,72.1,232.2,144.2,158.0,194.6,165.5,31.0
11,2023-08-12T15:06:35Z,Saturday Afternoon Run,Run,20038.2,7711,7777,197.3,2.599,5.834,72.9,221.7,148.5,164.0,240.3,165.3,159.0
12,2023-08-11T16:34:23Z,Afternoon Weight Training,WeightTraining,0.0,712,712,0.0,0.0,0.0,,,89.6,113.0,0.0,0.0,1.0
13,2023-08-10T18:10:11Z,Thursday Evening Run,Run,4019.2,1961,2009,46.3,2.05,3.8,72.2,167.4,121.5,135.0,215.7,173.2,7.0
14,2023-08-09T18:38:26Z,Evening Walk,Walk,7280.7,4718,5075,105.4,1.543,2.183,,,80.8,109.0,210.6,163.6,7.0
15,2023-08-08T17:34:14Z,Afternoon Weight Training,WeightTraining,0.0,1916,1916,0.0,0.0,0.0,,,92.2,159.0,0.0,0.0,4.0
16,2023-08-07T18:39:30Z,Monday Evening Run,Run,6067.1,2292,3602,61.5,2.647,4.312,71.3,237.8,141.8,164.0,216.1,171.4,30.0
17,2023-08-05T14:37:10Z,Saturday Afternoon Run,Run,15409.9,5809,5957,178.0,2.653,6.464,74.2,228.0,148.6,165.0,240.3,162.7,124.0
18,2023-08-04T14:59:43Z,Afternoon Weight Training,WeightTraining,0.0,4134,4134,0.0,0.0,0.0,,,89.4,122.0,0.0,0.0,8.0
19,2023-08-03T20:41:49Z,Thursday Evening Run,Run,5646.8,2080,2090,48.3,2.715,4.714,73.9,229.8,140.5,157.0,192.1,165.3,26.0
20,2023-08-01T15:58:26Z,Afternoon Weight Training,WeightTraining,0.0,2833,2833,0.0,0.0,0.0,,,89.4,116.0,0.0,0.0,5.0
21,2023-07-31T17:12:16Z,Monday Evening Run,Run,3208.0,969,975,21.6,3.311,5.624,75.4,266.9,150.5,164.0,192.1,171.0,23.0
22,2023-07-29T15:12:26Z,Saturday Afternoon Run,Run,16093.7,6501,6582,184.5,2.476,5.225,71.8,210.5,140.8,158.0,234.0,162.7,75.0
23,2023-07-28T13:59:48Z,Afternoon Weight Training,WeightTraining,0.0,1411,1411,0.0,0.0,0.0,,,91.9,122.0,0.0,0.0,3.0
24,2023-07-27T16:38:38Z,Thursday Afternoon Run,Run,5331.1,1868,1868,65.8,2.854,5.176,73.8,245.6,144.3,156.0,198.4,165.3,33.0
25,2023-07-25T16:18:42Z,Tuesday Afternoon Run,Run,13515.4,5284,5457,175.8,2.558,5.796,71.8,233.8,142.2,163.0,240.3,162.7,70.0
26,2023-07-24T17:32:27Z,Afternoon Weight Training,WeightTraining,0.0,2337,2337,0.0,0.0,0.0,,,98.0,124.0,0.0,0.0,5.0
27,2023-07-22T21:58:22Z,Saturday Night Run,Run,3994.1,1442,1443,31.5,2.77,4.86,73.0,230.1,145.5,155.0,186.9,165.3,27.0
28,2023-07-20T18:20:19Z,Thursday Evening Run,Run,6323.8,2252,2255,73.5,2.808,5.508,72.8,231.9,144.4,160.0,207.7,165.5,37.0
29,2023-07-18T18:24:28Z,Evening Weight Training,WeightTraining,0.0,1525,1525,0.0,0.0,0.0,,,98.4,126.0,,,3.0
